Threads,  blocking,   nonblocking,  tbb
01,        3,          4,            3
02,        3,          4,            3
03,        3,          4,            3
04,        3,          4,            3
05,        7,          8,            6
06,        8,          7,            6
07,        8,         10,            8
08,        9,         11,            7
09,       10,         12,            9
10,       11,         11,            9
11,       13,         14,           11
12,       13,         15,           12
13,       14,         17,           14
14,       15,         16,           15
15,       17,         15,           13
16,       18,         18,           15
17,       16,         18,           16
18,       18,         19,           17
19,       20,         21,           15
20,       18,         23,           19
21,       18,         25,           25
22,       22,         23,           21
23,       19,         22,           20
24,       22,         23,           19
25,       24,         27,           21
26,       23,         27,           25
27,       27,         27,           28
28,       28,         28,           26
29,       24,         30,           23
30,       23,         30,           26
31,       30,         28,           26
32,       29,         33,           26
